retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
210,1236,35,6938,7209,7205,7205,611,658,1743,2856,6447,17636,786
131,655,21,3257,3607,3735,3735,420,453,925,1658,3906,13181,493
117,461,22,1971,2020,2038,2038,244,262,541,870,2114,5691,295
89,407,21,1605,1642,1654,1654,172,184,392,583,1405,3162,201
72,331,20,1312,1338,1348,1348,135,142,317,439,1050,2048,154
72,357,24,1192,1179,1172,1172,127,134,324,416,1054,1580,142
69,285,22,1136,1169,1183,1183,137,144,296,383,903,1542,150
118,575,67,1782,1599,1535,1535,339,356,727,792,1350,2141,358
177,812,85,3393,3380,3389,3389,992,1048,2131,3158,4973,6195,1122
105,366,52,3563,3954,4049,4049,436,466,1012,1971,4950,10716,542
170,530,70,1792,1776,1773,1773,489,528,989,1573,4693,7199,564
144,736,97,2684,2640,2626,2626,806,866,1549,2257,4719,10319,924
169,755,73,3741,3925,3897,3897,799,845,1383,2022,4253,13675,906
87,365,32,1934,2089,2154,2154,347,364,589,910,2222,9076,406
68,258,33,1308,1344,1357,1357,253,265,404,576,1327,3925,281
56,202,32,1108,1124,1129,1129,198,205,322,433,977,2278,218
47,164,30,972,987,993,993,167,173,281,356,745,1657,183
48,163,35,858,866,870,870,148,154,271,381,990,1392,159
61,242,35,1161,1083,1059,1059,308,322,587,773,1643,2347,336
126,537,68,1411,1467,1463,1463,460,476,839,1006,2157,3649,483
194,1029,166,3189,2990,2908,2908,1042,1085,2030,2835,4608,6608,1137
111,521,82,4405,4777,4839,4839,811,868,1677,2629,4846,13507,945
167,701,122,2779,2745,2714,2714,1423,1533,3224,4313,6751,15275,1634
90,354,73,2780,3127,3176,3176,554,597,1487,2216,5909,16335,685
127,466,47,2429,2532,2541,2541,759,807,1661,2536,5517,16927,853
76,300,46,1444,1473,1488,1488,299,314,621,1016,2887,12009,357
54,197,42,1201,1250,1266,1266,213,224,430,598,1573,6585,232
42,152,37,979,994,1000,1000,163,170,341,451,1119,3811,181
33,123,33,852,870,875,875,132,137,287,358,865,2186,144
29,108,30,715,728,733,733,122,126,252,317,763,1464,133
30,105,24,645,652,654,654,98,102,228,285,609,1269,107
82,389,68,880,815,797,797,251,260,486,630,1657,1999,254
119,439,94,3544,3412,3316,3316,1214,1275,2118,2539,3671,8249,1296
278,953,143,2310,2533,2608,2608,1126,1185,2083,2651,5052,8339,1251
141,570,70,4051,4180,4157,4157,1168,1253,2252,3057,6062,14264,1325
101,522,58,2165,2272,2313,2313,833,889,1638,2338,5287,12922,965
95,561,88,2616,2662,2624,2624,1014,1083,2091,2796,5714,13512,1149
62,216,37,1437,1576,1633,1633,324,339,628,948,2788,9827,386
59,183,38,1072,1087,1093,1093,271,283,462,582,1515,5046,293
40,136,35,900,916,922,922,191,198,342,425,1097,3023,208
31,107,32,788,802,806,806,157,163,286,339,847,2103,170
25,94,29,678,691,696,696,145,151,269,300,755,1675,159
53,212,59,661,627,623,623,248,260,495,575,1193,1522,265
84,395,64,1977,1877,1822,1822,396,421,856,1237,2537,3163,433
265,1359,100,3305,3181,3119,3119,1019,1079,2443,3722,5867,5963,1146
214,1006,52,5370,5427,5390,5390,943,1007,2296,3926,7003,12167,1124
123,610,81,2215,2556,2684,2684,432,462,1153,2174,6515,10102,520
190,986,87,4585,4516,4413,4413,1095,1170,2811,4637,8353,17733,1254
85,369,40,2543,2935,3057,3057,474,496,1149,2749,7391,15606,591
