retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,saosalvador,peixeangelical,lajeado,estreito,tucurui
323,1566,132,5150,5130,5045,5045,1656,1830,2007,4133,5504,7409,17314
210,783,57,6328,6451,6403,6403,1308,1447,1622,3025,4414,7133,19585
375,1394,122,4864,5102,5146,5146,1803,2018,2240,3974,5306,7759,20796
270,1101,100,4749,5179,5231,5231,1490,1616,1779,3088,4281,7076,22547
156,744,65,3729,4003,4032,4032,948,1029,1149,2210,3123,6478,21231
114,416,46,2518,2658,2692,2692,433,463,519,912,1325,3172,12141
93,318,47,1738,1772,1783,1783,356,379,408,714,916,1976,6730
79,270,39,1468,1493,1502,1502,247,261,287,532,670,1458,4484
67,221,35,1278,1296,1302,1302,188,198,215,416,503,1107,3138
56,182,31,1102,1122,1129,1129,144,151,161,328,374,819,2167
68,213,40,962,963,967,967,404,425,445,800,957,1797,1499
96,389,52,1651,1670,1638,1638,539,566,603,1098,1565,2765,4767
159,914,161,3848,3709,3604,3604,1322,1430,1524,2865,3858,5286,10448
326,1340,148,5632,5701,5678,5678,2778,3103,3437,6628,9084,11060,26607
322,2116,141,6944,7019,6972,6972,2849,3234,3680,7109,10585,14271,32657
240,1395,229,7973,8198,8193,8193,3601,3948,4255,7976,10458,14846,29184
213,1684,177,7150,7561,7572,7572,3524,3875,4250,7929,10014,15155,30879
129,819,72,8764,9073,9046,9046,1689,1876,2132,4317,6060,10727,22924
110,582,71,3939,4417,4580,4580,976,1073,1165,2139,2867,5274,14345
89,461,68,2591,2659,2683,2683,717,785,840,1553,1934,3278,7249
73,348,62,2078,2119,2133,2133,543,596,637,1210,1462,2466,5063
64,298,58,1703,1735,1746,1746,463,500,529,1032,1201,1927,3864
80,354,90,1978,1869,1831,1831,847,921,995,1864,2535,3775,5220
126,959,107,3267,3098,3043,3043,1556,1690,1817,3122,4295,6252,10298
292,2172,144,5593,5446,5398,5398,3037,3250,3436,5303,6862,9845,16825
314,2485,146,7284,7077,7008,7008,2774,2980,3227,5709,7247,11088,23025
139,1094,85,10080,10782,10823,10823,2066,2222,2416,4222,5429,9183,21393
181,1409,122,4595,4721,4787,4787,1775,1899,2043,3732,4755,7953,19604
146,1212,65,5591,5595,5586,5586,1139,1190,1279,2114,2854,5473,20167
99,622,62,3581,3794,3866,3866,662,692,745,1251,1641,3273,12629
83,449,49,2453,2528,2554,2554,389,403,430,739,924,1831,8439
70,356,48,2009,2040,2051,2051,285,294,309,547,641,1198,5120
57,282,40,1724,1756,1766,1766,218,224,235,431,486,906,3386
53,267,38,1497,1507,1510,1510,236,243,251,478,533,945,2372
79,327,36,1518,1533,1538,1538,258,270,282,483,540,852,1992
117,658,52,2171,2036,1973,1973,527,553,590,1132,1603,2810,2985
135,730,62,3769,3854,3866,3866,645,675,708,1324,1933,3514,5547
240,1417,92,3749,3754,3740,3740,1195,1252,1329,2254,3498,5802,10186
235,1698,86,5142,5101,5059,5059,1691,1807,1965,3106,5199,8034,17521
428,2228,151,5706,6242,6156,6156,2378,2493,2786,5570,10415,18020,23180
177,1307,68,7283,8013,8024,8024,1542,1672,1924,3585,6636,13285,32076
116,626,42,4318,4827,4980,4980,651,700,818,1483,2929,6617,16482
93,456,40,2353,2422,2446,2446,489,524,586,1082,1908,3988,7632
82,383,38,1942,1968,1978,1978,377,401,446,839,1365,2850,4882
75,301,47,1626,1663,1676,1676,416,446,484,901,1268,2423,3873
92,362,40,1613,1606,1603,1603,284,303,331,694,956,1915,3431
79,387,70,1436,1432,1431,1431,524,564,599,1161,1510,2538,3072
90,598,111,3112,3099,3028,3028,850,930,1002,1978,2631,4098,7723
230,1269,142,4248,4252,4201,4201,1307,1439,1560,3384,4654,7172,10656
