qnat,evap,conversor
973,69,2.6784
2414,41,2.592
3362,29,2.6784
5179,12,2.6784
6249,5,2.4192
5124,4,2.6784
5929,-2,2.592
2757,2,2.6784
1868,29,2.592
1244,52,2.6784
995,72,2.6784
834,75,2.592
1085,69,2.6784
1588,41,2.592
5061,29,2.6784
5637,12,2.6784
6066,5,2.4192
8504,4,2.6784
6725,-2,2.592
3283,2,2.6784
1887,29,2.592
1336,52,2.6784
1008,72,2.6784
916,75,2.592
953,69,2.6784
1869,41,2.592
3688,29,2.6784
2648,12,2.6784
3940,5,2.4192
4861,4,2.6784
5189,-2,2.592
4375,2,2.6784
1797,29,2.592
1226,52,2.6784
939,72,2.6784
776,75,2.592
834,69,2.6784
1094,41,2.592
1272,29,2.6784
5383,12,2.6784
5189,5,2.5056
3353,4,2.6784
2117,-2,2.592
1272,2,2.6784
970,29,2.592
699,52,2.6784
643,72,2.6784
625,75,2.592
804,69,2.6784
1293,41,2.592
1818,29,2.6784
1750,12,2.6784
4622,5,2.4192
3814,4,2.6784
3882,-2,2.592
1584,2,2.6784
997,29,2.592
725,52,2.6784
636,72,2.6784
527,75,2.592
583,69,2.6784
1315,41,2.592
3018,29,2.6784
2826,12,2.6784
7421,5,2.4192
7830,4,2.6784
7036,-2,2.592
2270,2,2.6784
1363,29,2.592
982,52,2.6784
864,72,2.6784
707,75,2.592
1059,69,2.6784
1933,41,2.592
3657,29,2.6784
2392,12,2.6784
2954,5,2.4192
5381,4,2.6784
6254,-2,2.592
2594,2,2.6784
1410,29,2.592
1002,52,2.6784
788,72,2.6784
685,75,2.592
930,69,2.6784
1136,41,2.592
1465,29,2.6784
3090,12,2.6784
5929,5,2.5056
8793,4,2.6784
8521,-2,2.592
3964,2,2.6784
1999,29,2.592
1295,52,2.6784
973,72,2.6784
801,75,2.592
774,69,2.6784
2062,41,2.592
1999,29,2.6784
