bhsf,bhtoc
2193.7443326239672,2030.1566524756706
2588.2362247280744,1931.3331418703958
4203.250108666978,3000.468464150434
5996.722795434142,5425.718943409954
13478.472681770108,9660.149165121227
14517.730343350064,13114.218069989107
17452.672319734214,24788.69685820544
6829.351194457942,16500.437082976558
6600.918948773242,15384.031846208134
5767.029584349031,13836.700732644236
3934.55639036536,6768.773220402636
3337.62048801344,3854.4066513771722
2751.1986773191975,2679.9699484007137
2615.559113735905,2265.1320546155666
3248.516356673117,3045.127071409054
3987.2312029899012,3946.254565798327
7983.373712706528,7608.51964012157
15980.624187153118,22049.52879024024
15168.764452641451,21167.600949630003
19159.039805394503,30618.222974899414
11878.469351350526,21343.000361051127
7902.36786781055,14687.720211574273
6485.606439312287,7837.566865429728
4467.188003277618,4574.077812932273
4241.222201449309,3354.699732957035
3463.142203753851,2661.196533772224
4160.362008955269,3040.7862743483784
5968.619435995466,3622.7070488087197
10849.62070302277,7269.331593593326
17445.212265965354,20612.648969366543
27419.25466159478,35759.76409035223
44988.227038639714,26820.754379148755
22692.71880919851,20049.04792799268
11042.627948389641,11843.050631836333
8060.487616334968,6073.969743070209
6553.573692605551,4029.632154121092
5703.212373041031,3131.5855248977114
5705.1701920366195,3193.8291568954164
5763.890091775251,3288.4660380677506
9214.152686367215,5055.258897378744
9669.816232679568,5846.20930298961
18107.224723162082,17525.083225002276
28255.713414504127,40096.87990987032
31560.848517683517,37067.59949471953
13777.838671105033,24255.588541315108
10638.742764971339,12307.109128877599
6942.3837470485905,6551.2870275284995
6412.048563529571,4488.976102801145
5451.385865932391,3449.882427273017
4829.127622352318,3063.7505510818933
5093.651972058545,3166.8924586610374
6479.752322226172,4987.666639656221
13159.6470617821,12595.215634288377
17009.873980425902,20085.82028620072
15093.054004244012,17755.321948026845
13323.115639573913,17012.737235827626
17476.591395774667,20987.695736763282
8416.0300176126,10993.792723378685
5916.252083591105,6117.788229402999
4803.835741066592,4044.711377033403
4322.304597528119,3114.565240020837
3999.9437499461155,2585.3791004591367
5250.987210302089,3259.2189795597633
12138.783109861335,8045.946469964767
18028.978095556835,9742.350706584064
20150.47097603582,23759.607507504883
22943.7536752026,25517.026644701484
22127.556946711004,23223.408161038544
20487.852712997937,20066.15044117331
12169.833684544958,12240.392271639745
7912.5067476874665,6684.356748375028
6206.677993452729,4260.1352283785845
5203.618179416253,3250.5325121700052
4762.35398791206,2968.3171982510844
4940.281424801741,3464.3495040284724
4980.17135316044,3851.8445974800998
5649.460688329189,4213.126654596984
14664.447480860239,10550.551085700583
22816.218814724685,28851.704769992633
27787.55391877886,19296.183166195955
21159.23226245964,19145.333969982476
13949.48762979577,9463.805642539024
8181.88729908445,5223.482300756157
6284.964720383345,3564.473947810645
5653.878328820365,2836.304671216487
4484.834146917072,2460.22195780393
5885.938648495415,2910.292830566622
11246.746376823992,4511.9302820815965
17221.631610878252,9846.737070347534
19067.6388446422,10472.839870869206
9514.622069221632,9872.019053237414
8133.586790050208,11806.904720046177
11876.709099780524,16738.195063888117
6021.283928448629,10557.48430500723
4223.03341360894,4674.043870418011
3709.4333384647407,2956.5695254829657
3338.12363704528,2320.4801973885938
3991.0272889464213,2315.153635971622
4256.710559722211,2545.1302668352137
5240.6383624775035,3194.7434274568127
10955.698948003586,4397.779886272365
17133.083363187165,15430.796124197504
24090.592234979293,24081.627306377137
21772.175416399088,21227.62985504876
21153.212250781027,23159.83830201453
9576.57699809902,15543.697374967596
5915.000446714746,6929.152003106584
4740.289328359637,3960.4441663589405
4205.065472451428,2820.8924503780204
4080.023891692564,2275.23609882334
5124.036738464984,3297.0811251518817
6597.068142861324,5283.584322628445
10012.616554980861,12302.583473392999
17666.889922940063,24366.33239034021
22320.243238726227,20415.74816975914
15101.803126204266,20465.47495463675
7344.3605791878035,16847.018711588422
5421.199102240084,10885.459356202906
4046.414630398014,5424.684150594987
3765.4851603111756,3442.09000115055
