,retirobaixo,tresmarias,queimado,sobradinho,itaparica,peixeangelical,serradamesa,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
278,241.59,15671.764504158336,557.0,32050.179785688862,10782.0,2741.0,28319.750542865684,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
279,241.59,15505.379804739758,557.0,33344.33796120139,10782.0,2741.0,28544.31897072829,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
280,241.59,14878.277681909209,557.0,31829.124484192194,10782.0,2741.0,27517.653058595384,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
281,241.59,14004.495339333636,557.0,29751.178543747883,10782.0,2741.0,26282.92969146293,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
282,241.59,12987.655927335894,554.039204631245,26815.69732387991,10613.96109808565,2741.0,24863.874404887803,47491.69237783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
283,237.02057315330163,11902.634527620514,540.2464058705494,23455.855163031727,10068.452581765076,2647.134099018691,23358.641855433063,40343.31932737698,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
284,222.69729344085232,10814.787770706189,519.0480840620219,19794.822107686945,9132.403725685836,2459.418572264658,21867.832199878667,31487.1580583498,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
285,211.3383293602663,9695.48186790724,483.8201028240911,15840.47601542828,7950.018612546913,2212.672118222309,20308.521848715976,21805.28562984196,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
286,241.59,9358.06797630446,557.0,12761.089735230804,7233.927534051366,2648.167040455847,19209.31193796214,14328.346890906152,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
287,241.59,9143.451262955414,557.0,16864.23004913001,10782.0,2741.0,20662.1788386394,23388.34629354569,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
288,241.59,10319.632142375613,557.0,17688.584790417597,10782.0,2741.0,21884.40520900921,32688.744786727275,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
289,241.59,10456.197013959332,557.0,22748.49703595249,10782.0,2741.0,23102.270676218537,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
290,241.59,10458.920643040192,557.0,23421.84908200607,10782.0,2741.0,23546.81260360914,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
291,241.59,10549.515395101487,557.0,25248.165830560043,10782.0,2741.0,24436.689022932627,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
292,241.59,9710.652804545272,555.5515551330318,23801.060104543263,10782.0,2741.0,23484.41534442529,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
293,241.59,8814.142168821054,555.6793391144599,21470.740671446623,10782.0,2741.0,22409.97683310711,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
294,241.59,7767.231688015769,547.3834442097822,18456.406176996512,10405.045898085653,2741.0,21077.66302285079,45381.11317783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
295,231.66377315330163,6650.218573619044,531.0202614817694,15090.944400964348,9678.8928452667,2644.455699018691,19652.09211910899,38010.011321216574,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
296,206.98761049666567,5537.239794151231,507.3674435477672,11533.47160596834,8651.13100008722,2500.832529748582,18235.02170522735,29703.112699806505,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
297,241.59,4712.86895066329,557.0,7865.1404446430515,7408.342283956505,2741.0,17085.373455864334,20701.672781824323,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
298,241.59,4395.976835096252,557.0,7863.217645245218,9452.655894202291,2741.0,16367.219965095832,16245.31539886068,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
299,241.59,6650.778712683743,557.0,11461.033275133384,10782.0,2741.0,17301.441989001825,19179.10276708659,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
300,241.59,7968.802432786761,557.0,20586.948361897987,10782.0,2741.0,18036.792076939422,38736.307182106175,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
301,241.59,8210.22094031707,557.0,21205.31859873057,10782.0,2741.0,17455.37995889799,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
302,241.59,9458.394625463276,557.0,28369.543991312345,10782.0,2741.0,18604.930594253103,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
303,241.59,9053.29057159574,557.0,29979.83110396732,10782.0,2741.0,18099.784746548765,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
304,241.59,8748.579425108232,557.0,29382.69040372733,10782.0,2741.0,17483.514954199574,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
305,241.59,8282.241513265368,554.5141569374955,28468.21378967173,10782.0,2741.0,16522.763938480388,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
306,241.59,7485.764324739067,538.2020455864788,26480.42523560622,10782.0,2741.0,15213.830286762164,48348.78037783912,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
307,241.59,6631.86249090603,511.2667025390041,23703.03629237939,10782.0,2708.737299018691,13815.69393390437,43498.64878250411,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
